image_id,true_class_idx,true_class_name,predicted_class_idx,predicted_class_name,error_magnitude,prediction_confidence,true_class_confidence
61bbc11fe503,4,Proliferative DR,2,Moderate DR,2,0.5424137711524963,0.10182299464941025
44855f666225,2,Moderate DR,3,Severe DR,1,0.8928940892219543,0.09763167053461075
eba3acc42197,1,Mild DR,2,Moderate DR,1,0.6575255393981934,0.3339839279651642
82ac8463fadd,1,Mild DR,0,No DR,1,0.9998656511306763,0.00011489060125313699
7a6e384a0846,3,Severe DR,1,Mild DR,2,0.7478082776069641,0.005512837786227465
51131b48f9d4,1,Mild DR,2,Moderate DR,1,0.9118409752845764,0.0793379619717598
282bc792d23a,2,Moderate DR,1,Mild DR,1,0.5134613513946533,0.421402245759964
034cb07a550f,4,Proliferative DR,3,Severe DR,1,0.433112233877182,0.40791282057762146
5efa24b03d5e,1,Mild DR,3,Severe DR,2,0.5293534994125366,0.41366034746170044
c0a0828e01b4,3,Severe DR,2,Moderate DR,1,0.6254464387893677,0.2408519685268402
c739ff9580d3,1,Mild DR,2,Moderate DR,1,0.9753844738006592,0.014252135530114174
ceaa5803d780,2,Moderate DR,3,Severe DR,1,0.5279150605201721,0.3430921733379364
8446826853d0,2,Moderate DR,1,Mild DR,1,0.7191470265388489,0.271053671836853
7102f29e052e,2,Moderate DR,3,Severe DR,1,0.7081961631774902,0.20662274956703186
4a44cc840ebe,2,Moderate DR,3,Severe DR,1,0.9898255467414856,0.004495297092944384
f6f7dba7104d,1,Mild DR,2,Moderate DR,1,0.7462905645370483,0.04204082116484642
25d069089c5e,4,Proliferative DR,3,Severe DR,1,0.6925357580184937,0.09394308179616928
545df1bbcd61,1,Mild DR,0,No DR,1,0.5971903204917908,0.07284103333950043
875a2fc5fe23,4,Proliferative DR,3,Severe DR,1,0.9528357982635498,0.032341405749320984
ffa47f6a7bf4,2,Moderate DR,3,Severe DR,1,0.9403411149978638,0.05461316183209419
8a25a080f28f,1,Mild DR,3,Severe DR,2,0.4610600769519806,0.041635747998952866
36a1e3c780a0,2,Moderate DR,1,Mild DR,1,0.8074415326118469,0.16530068218708038
d1a24527a15d,4,Proliferative DR,1,Mild DR,3,0.8374082446098328,0.057821501046419144
5b804948e35f,1,Mild DR,0,No DR,1,0.9998817443847656,6.973140261834487e-05
40140a925c43,2,Moderate DR,3,Severe DR,1,0.6666375398635864,0.26660943031311035
a150ff5dfe07,2,Moderate DR,3,Severe DR,1,0.9560663104057312,0.03968312591314316
84a72e15b23c,1,Mild DR,2,Moderate DR,1,0.7579337954521179,0.2200624793767929
9ad92f1c1542,2,Moderate DR,1,Mild DR,1,0.9284476637840271,0.06501327455043793
ee1ec90b980f,4,Proliferative DR,3,Severe DR,1,0.5661110281944275,0.32222476601600647
b55d2ddb3e75,4,Proliferative DR,3,Severe DR,1,0.9866830706596375,0.0027497676201164722
f092febbf5c0,3,Severe DR,2,Moderate DR,1,0.6510549187660217,0.16749408841133118
c9f0dc2c8b43,2,Moderate DR,3,Severe DR,1,0.6884865760803223,0.20909662544727325
224bb938e2dd,2,Moderate DR,3,Severe DR,1,0.9623069763183594,0.01597638614475727
c9485c38fdd5,1,Mild DR,2,Moderate DR,1,0.914783239364624,0.03704183176159859
b9127e38d9b9,2,Moderate DR,4,Proliferative DR,2,0.7750011682510376,0.08791793137788773
959dc602febc,2,Moderate DR,3,Severe DR,1,0.4888656437397003,0.4691530466079712
6531070bf03c,2,Moderate DR,3,Severe DR,1,0.7962918877601624,0.13438567519187927
262ad704319c,4,Proliferative DR,3,Severe DR,1,0.9633956551551819,0.00021785451099276543
3e6bfc4d5c65,2,Moderate DR,4,Proliferative DR,2,0.5977637767791748,0.3989153802394867
b37aae3c8fe1,4,Proliferative DR,1,Mild DR,3,0.9875268340110779,0.00038480505463667214
2221cf5c7935,0,No DR,3,Severe DR,3,0.9279451966285706,0.0007288016495294869
cae51154e1ce,1,Mild DR,2,Moderate DR,1,0.9936203360557556,0.0010315185645595193
82bb8a01935f,4,Proliferative DR,2,Moderate DR,2,0.7690146565437317,0.1850813329219818
093a42649c29,3,Severe DR,2,Moderate DR,1,0.5941734910011292,0.05700182169675827
4360a112db10,3,Severe DR,1,Mild DR,2,0.8264697790145874,0.15678608417510986
541db13517e2,2,Moderate DR,1,Mild DR,1,0.4873077869415283,0.3871167004108429
3b018e8b7303,3,Severe DR,4,Proliferative DR,1,0.5902033448219299,0.018858175724744797
